dataset,exam,sequence,file,slice_index,psnr,ssim
data_1,D1-000,T1,D1-000_T1FS,0,6.039430,0.060026
data_1,D1-000,T1,D1-000_T1FS,1,6.071125,0.064821
data_1,D1-000,T1,D1-000_T1FS,2,6.209351,0.064820
data_1,D1-000,T1,D1-000_T1FS,3,6.326357,0.065164
data_1,D1-000,T1,D1-000_T1FS,4,6.540606,0.068032
data_1,D1-000,T1,D1-000_T1FS,5,6.656663,0.071780
data_1,D1-000,T1,D1-000_T1FS,6,6.806164,0.077185
data_1,D1-000,T1,D1-000_T1FS,7,7.028266,0.082382
data_1,D1-000,T1,D1-000_T1FS,8,6.836281,0.087417
data_1,D1-000,T1,D1-000_T1FS,9,6.807325,0.093396
data_1,D1-000,T1,D1-000_T1FS,10,6.788560,0.098452
data_1,D1-000,T1,D1-000_T1FS,11,6.899710,0.103434
data_1,D1-000,T1,D1-000_T1FS,12,6.612719,0.107197
data_1,D1-000,T1,D1-000_T1FS,13,6.974949,0.112688
data_1,D1-000,T1,D1-000_T1FS,14,7.047963,0.117627
data_1,D1-000,T1,D1-000_T1FS,15,6.932378,0.118901
data_1,D1-000,T1,D1-000_T1FS,16,6.717220,0.118964
data_1,D1-000,T1,D1-000_T1FS,17,6.943427,0.120331
data_1,D1-000,T1,D1-000_T1FS,18,8.848249,0.133128
data_1,D1-000,T1,D1-000_T1FS,19,11.700267,0.153455
data_1,D1-000,T1,D1-000_T1FS,20,12.357874,0.154914
data_1,D1-000,T1,D1-000_T1FS,21,11.890011,0.140476
data_1,D1-000,T1,D1-000_T1FS,22,10.046192,0.119190
data_1,D1-000,T1,D1-000_T1FS,23,8.283505,0.097009
data_1,D1-000,T1,D1-000_T1FS,24,7.479678,0.082757
data_1,D1-000,T1,D1-000_T1FS,25,7.466382,0.074785
data_1,D1-000,T1,D1-000_T1FS,26,7.872757,0.070196
data_1,D1-000,T1,D1-000_T1FS,27,8.169650,0.065870
data_1,D1-000,T1,D1-000_T1FS,28,8.112785,0.058823
data_1,D1-000,T1,D1-000_T1FS,29,8.282578,0.055314
data_1,D1-000,T1,D1-000_T1FS,30,8.401261,0.052389
data_1,D1-000,T1,D1-000_T1FS,31,9.069104,0.053339
